"","","","",[]
入舟SS / 丸栄石油(株),"",岐阜県岐阜市入舟町4-27,0582468190,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥171   \r\n\t\t\t\t\tハイオク¥182   \r\n\t\t\t\t\t軽油¥148   \r\n\t\t\t\t\t灯油¥1944\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥165   \r\n\t\t\t\t\tハイオク¥176   \r\n\t\t\t\t\t軽油¥141   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
細江SS / (有)山崎石油,"",岐阜県飛騨市古川町袈裟丸811-1,0577752009,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
ウイングイズミSS / 山本石油(株),"",岐阜県土岐市泉仲森町1-11,0572558188,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥168   \r\n\t\t\t\t\tハイオク¥179   \r\n\t\t\t\t\t軽油¥146   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
ハローベンSS / 山本石油(株),"",岐阜県多治見市弁天町2-16,0572-22-4317,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥169   \r\n\t\t\t\t\tハイオク¥180   \r\n\t\t\t\t\t軽油¥148   \r\n\t\t\t\t\t灯油¥1890\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥166   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
美濃極楽寺SS / 丸喜石油(株),"",岐阜県美濃市極楽寺331-1,0575334132,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
中広江SS / 大塚石油店,"",岐阜県岐阜市加納中広江町23,0582-72-2652,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフ恵那中央SS / 山本石油(株),"",岐阜県恵那市長島町中野1-1-10,0573261228,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
ぎふ宇佐SS / 篠田商事(株),"",岐阜県岐阜市宇佐東町6-4,0582739381,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
小瀬SS / (有)黒谷商店,"",岐阜県関市小瀬1789-1,0575-23-0596,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
武並SS / 山本石油(株),"",岐阜県恵那市武並町竹折1701-8,0573282085,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥173   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥152   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
柿野SS / (有)山善石油店,"",岐阜県土岐市鶴里町柿野1227-1,0572522048,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
落合SS / 落合アポロ(株),"",岐阜県中津川市落合沖田714,0573693403,"[""ジャンル:出光興産"", ""ブランド:出光興産"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
