"","","","",[]
セルフいわむらSS / (有)上村建材,"",岐阜県恵那市岩村町1660-1,0573430087,"[""ジャンル:コスモ石油"", ""ブランド:コスモ石油"", ""サービスタイプ:セルフサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
明智SS / (株)丸八,"",岐阜県恵那市明智町徳間町534-1,0573550008,"[""ジャンル:モービル石油(エクソン)"", ""ブランド:モービル石油"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥171   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
御嵩SS / 中央石油商事(有),"",岐阜県可児郡御嵩町上恵土531-3,0574673177,"[""ジャンル:キグナス石油"", ""ブランド:キグナス石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
"","","","",[]
いちょう通SS / 安田商事(株),"",岐阜県各務原市那加野畑町1-27,0583715132,"[""ジャンル:モービル石油(エクソン)"", ""ブランド:モービル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
輪之内SS / 野村石油,"",岐阜県安八郡輪之内町里949,0584-69-2110,"[""ジャンル:モービル石油(エクソン)"", ""ブランド:モービル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
郡上八幡SS / (有)野村石油店,"",岐阜県郡上市八幡町城南町206-2,0575653769,"[""ジャンル:キグナス石油"", ""ブランド:キグナス石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフCan柳津SS / 東海石油(株),"",岐阜県岐阜市柳津町梅松3-78,0583872228,"[""ジャンル:キグナス石油"", ""ブランド:キグナス石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフ多治見ホワイトタウンSS / (有)荘加石油店,"",岐阜県多治見市京町5-89,0572220028,"[""ジャンル:キグナス石油"", ""ブランド:キグナス石油"", ""サービスタイプ:セルフサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
流通センターSS / 東海石油(株),"",岐阜県岐阜市柳津町流通センター2-2-1,058-279-2511,"[""ジャンル:キグナス石油"", ""ブランド:キグナス石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフバロー羽島インター / キグナス石油販売(株),"",岐阜県羽島市上中町中348-1,0583970823,"[""ジャンル:キグナス石油"", ""ブランド:キグナス石油"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥160   \r\n\t\t\t\t\tハイオク¥171   \r\n\t\t\t\t\t軽油¥142   \r\n\t\t\t\t\t灯油¥1836\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
"","","","",[]
ハートランド芥見SS / (有)小林石油,"",岐阜県岐阜市芥見大船2-11,058-241-8002,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
岐阜県庁前SS / 小野商事(株),"",岐阜県岐阜市薮田南1-1-8,058-271-8906,"[""ジャンル:モービル石油(エクソン)"", ""ブランド:モービル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
ロードアイランド21SS / 小野商事(株),"",岐阜県岐阜市下奈良1-4-1,058-271-8953,"[""ジャンル:モービル石油(エクソン)"", ""ブランド:モービル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
古川SS / (有)平和商事,"",岐阜県飛騨市古川町袈裟丸570,0577752225,"[""ジャンル:モービル石油(エクソン)"", ""ブランド:モービル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
則武SS / 東海石油(株),"",岐阜県岐阜市則武西1-11-1,058-233-9233,"[""ジャンル:キグナス石油"", ""ブランド:キグナス石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
羽島SS / (有)問久商店,"",岐阜県羽島市竹鼻町狐穴1066,058-392-2215,"[""ジャンル:モービル石油(エクソン)"", ""ブランド:モービル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
蘇原SS / 水野石油(株),"",岐阜県各務原市蘇原吉野町2-52-1,0583823935,"[""ジャンル:モービル石油(エクソン)"", ""ブランド:モービル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
中津川SS / 末松石油(株),"",岐阜県中津川市駒場1397-3,0573-66-5141,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
リブレ三福寺SS / 清水商事(株),"",岐阜県高山市三福寺町363-12,0577322839,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:セルフサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
白金SS / (株)山田石油,"",岐阜県関市上白金1127-1,0575282073,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥160   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
中津川インターSS / 末松石油(株),"",岐阜県中津川市手賀野233-5,0573-65-4081,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥181   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
中之保SS / (有)中之保給油所,"",岐阜県関市中之保5699,0575-49-3015,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
美濃関SS / (株)宮地石油店,"",岐阜県関市栄町3-2-25,0575224131,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
竜田町SS / 岐阜昭石(株),"",岐阜県岐阜市竜田町2-4,058-264-0131,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
付知SS / (有)西尾石油店,"",岐阜県中津川市付知町5900-11,0573822263,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
則松SS / (株)成瀬商会,"",岐阜県岐阜市則松5-35,0582399531,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
アーバンSS / (株)山本石油,"",岐阜県関市大杉559-11,0575-24-6623,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
洞戸バイパスSS / 後藤石油店,"",岐阜県関市洞戸市場880,0581582262,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
坂下SS / 末松商事(株),"",岐阜県中津川市坂下1608,0573-75-3011,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
共栄SS / 昭洋商事(株),"",岐阜県多治見市虎渓山町7-4-10,0572-25-2225,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
荘川SS / (有)寺田商店,"",岐阜県高山市荘川町牧戸85,05769-2-2027,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
【中央道】恵那峡SA下り店 / エネクスフリート(株),"",岐阜県恵那市大井町2194-262,0573-26-5770,"[""ジャンル:SA/PA/ハイウェイオアシス"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥178   \r\n\t\t\t\t\tハイオク¥190   \r\n\t\t\t\t\t軽油¥154   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥168   \r\n\t\t\t\t\tハイオク¥180   \r\n\t\t\t\t\t軽油¥144   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
御手洗SS / (株)ハバ石油,"",岐阜県美濃市御手洗902-1,0575372623,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
武芸川SS / (有)田下石油店,"",岐阜県関市武芸川町八幡846,0575-46-2229,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
サンタモニカオアシスSS / サンタモニカ石油(株),"",岐阜県多治見市光ケ丘5-39,0572-23-2935,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥167   \r\n\t\t\t\t\tハイオク¥178   \r\n\t\t\t\t\t軽油¥146   \r\n\t\t\t\t\t灯油¥1818\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥164   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
田口町SS / (株)セイノー商事,"",岐阜県大垣市田口町1,0584-74-0858,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥165   \r\n\t\t\t\t\tハイオク¥176   \r\n\t\t\t\t\t軽油¥147   \r\n\t\t\t\t\t灯油¥1854\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥162   \r\n\t\t\t\t\tハイオク¥174   \r\n\t\t\t\t\t軽油¥145   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
大垣南SS / (株)種田石油店,"",岐阜県大垣市浅草2-61,0584894809,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥160   \r\n\t\t\t\t\tハイオク¥171   \r\n\t\t\t\t\t軽油¥142   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
高山南SS / 濃飛石油(株),"",岐阜県高山市名田町2-103,0577322561,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
岐垣国道SS / (株)種田石油店,"",岐阜県大垣市旭町6-1,0584-73-7090,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥160   \r\n\t\t\t\t\tハイオク¥171   \r\n\t\t\t\t\t軽油¥142   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
聖橋SS / 清水商事(株),"",岐阜県高山市本母町281-31,0577-32-0362,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
大垣北SS / (株)種田石油店,"",岐阜県大垣市中川町3-10,0584733987,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥160   \r\n\t\t\t\t\tハイオク¥171   \r\n\t\t\t\t\t軽油¥142   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
リブレ高山SS / 清水商事(株),"",岐阜県高山市昭和町3-111,0577331321,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:セルフサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥171   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
可児SS / 堀井石油,"",岐阜県可児市土田3862-2,0574-26-2967,"[""ジャンル:モービル石油(エクソン)"", ""ブランド:モービル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
木曽山口SS / 末松商事(株),"",岐阜県中津川市山口491,0573-75-4181,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
ニュー大垣SS / (株)種田石油店,"",岐阜県大垣市長沢町5-2,0584789312,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
明徳町SS / 豊通石油販売(株),"",岐阜県岐阜市明徳町13,058-263-8177,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
大垣西SS / (株)種田石油店,"",岐阜県大垣市長松町871-2,0584923071,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥160   \r\n\t\t\t\t\tハイオク¥171   \r\n\t\t\t\t\t軽油¥142   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
【名神高速】養老SA上り店 / エネクスフリート(株),"",岐阜県養老郡養老町橋爪1466-7,0584-32-0745,"[""ジャンル:SA/PA/ハイウェイオアシス"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥177   \r\n\t\t\t\t\tハイオク¥188   \r\n\t\t\t\t\t軽油¥153   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥167   \r\n\t\t\t\t\tハイオク¥178   \r\n\t\t\t\t\t軽油¥143   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
大垣インターSS / (株)種田石油店,"",岐阜県大垣市島里1-80,0584893986,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥160   \r\n\t\t\t\t\tハイオク¥171   \r\n\t\t\t\t\t軽油¥142   \r\n\t\t\t\t\t灯油¥2016\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
"","","","",[]
記念橋SS / (株)満留肥商店,"",岐阜県多治見市明治町2-4,0572222180,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥169   \r\n\t\t\t\t\tハイオク¥180   \r\n\t\t\t\t\t軽油¥148   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
福光SS / (株)油茂商店,"",岐阜県岐阜市福光西3-12-20,0582323635,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
サンタモニカ幸町SS / サンタモニカ石油(株),"",岐阜県多治見市幸町3-7-1,0572201267,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥169   \r\n\t\t\t\t\tハイオク¥180   \r\n\t\t\t\t\t軽油¥148   \r\n\t\t\t\t\t灯油¥1854\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
ニュー赤坂SS / (株)種田石油店,"",岐阜県大垣市赤坂町2148-1,0584710639,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥160   \r\n\t\t\t\t\tハイオク¥171   \r\n\t\t\t\t\t軽油¥142   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
パール岩田SS / 江尾商事(株),"",岐阜県岐阜市岩田東2-131,058-241-7667,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
サンタモニカ東町SS / サンタモニカ石油(株),"",岐阜県多治見市東町4-9-15,0572-25-3160,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥164   \r\n\t\t\t\t\tハイオク¥175   \r\n\t\t\t\t\t軽油¥143   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
子の原ラインSS / ナガイ(株),"",岐阜県高山市久々野町大西15-1,0577-52-3028,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
美濃北SS / (有)市原石油店,"",岐阜県美濃市長瀬751,0575-33-2513,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
大垣東SS / (株)種田石油店,"",岐阜県大垣市三本木3-1,0584755984,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥160   \r\n\t\t\t\t\tハイオク¥171   \r\n\t\t\t\t\t軽油¥142   \r\n\t\t\t\t\t灯油¥1944\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
平和通SS / (株)宮地石油店,"",岐阜県関市相生町37,0575220815,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
サンタモニカ瑞浪SS / サンタモニカ石油(株),"",岐阜県瑞浪市穂並3-52,0572-67-2345,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥179   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフ正木SS / 豊通石油販売(株),"",岐阜県岐阜市正木北町8-18,058-231-1469,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥170   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
neo愛岐SS / (株)新陽石油,"",岐阜県各務原市前渡東町3-251-4,0583860077,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥164   \r\n\t\t\t\t\tハイオク¥175   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥1854\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥162   \r\n\t\t\t\t\tハイオク¥173   \r\n\t\t\t\t\t軽油¥139   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
矢田SS / 則竹石油(株),"",岐阜県美濃加茂市前平町1-52,0574262326,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥166   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
羽島SS / (株)渡辺石油店,"",岐阜県羽島市竹鼻町狐穴3523-2,0583912945,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
飯柄SS / (株)渡辺石油店,"",岐阜県羽島市竹鼻町飯柄483-1,0583929034,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
山岡アイオンSS / ヤマオカアイオン商事(株),"",岐阜県恵那市山岡町下手向1163,0573-56-3308,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
妻木下石SS / 昭洋商事(株),"",岐阜県土岐市下石町66-1,0572-58-0070,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
御門SS / 丸日物産(株),"",岐阜県美濃加茂市御門町1-1-20,0574261318,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
セルフ岐阜羽島SS / 豊通石油販売(株),"",岐阜県羽島市足近町6-63-1,058-391-8131,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""営業時間:24時間営業"", ""サービスタイプ:セルフサービス"", ""車検サービス:あり"", ""現金価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥-   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t\t灯油¥-\r\n\t\t\t\t"", ""会員価格:\r\n\t\t\t\t\tレギュラー¥-   \r\n\t\t\t\t\tハイオク¥174   \r\n\t\t\t\t\t軽油¥-   \r\n\t\t\t\t"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
土岐中央SS / 名古屋シェル石油販売(株),"",岐阜県土岐市土岐津町土岐口1741-1,0572-55-2220,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""車検サービス:あり"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
トライアングルSS / 大川商店,"",岐阜県土岐市肥田町浅野813-5,0572-55-3859,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
山岡町SS / 向井屋,"",岐阜県恵那市山岡町上手向22-1,0573-56-2548,"[""ジャンル:昭和シェル"", ""ブランド:昭和シェル石油"", ""サービスタイプ:フルサービス"", ""注記:※表示情報は店舗側が保証するものではありません。""]"
